Name,Year,Sex,Age,SnowFromRls
BE401,2014,M,J,1006
BE419,2014,F,J,11
BE442,2014,M,J,1312
BE443,2014,M,J,570
BE464,2014,F,J,600
BE473,2014,M,J,2098
BE480,2014,M,J,395
BE483,2014,F,J,721
BE493,2014,F,J,369
BE495,2014,M,J,341
BE496,2014,M,J,1977
BE506,2014,M,J,1160
BE512,2014,M,J,453
DE230,2013,M,J,510
DE244,2013,M,J,1704
DE328,2013,M,J,123
DE412,2014,F,J,3009
DE415,2014,F,J,170
DE419,2014,F,J,504
DE424,2014,F,J,2214
DE456,2014,F,J,790
DE467,2014,F,J,1267
DE471,2014,F,J,827
DE486,2014,F,J,1101
DE514,2014,F,J,1674
DE521,2014,F,J,1448
DE544,2014,M,J,1300
DE574,2014,F,J,539
DE575,2014,M,J,3230
DE577,2014,M,J,570
DE582,2014,F,J,251
DE589,2014,F,J,86
DE593,2014,F,J,333
DE604,2014,M,J,441
DE614,2014,F,J,1253
DE617,2014,M,J,3546
DE628,2014,M,J,598
OZ1723,2012,F,J,1041
SBFLE001,2012,F,J,1208
SBFLE007,2012,F,J,742
SBFLE009,2012,F,J,333
SBFLE010,2012,F,J,427
SBFLE011,2012,F,J,2336
SBFLE012,2012,F,J,302
SBFLE016,2012,F,J,647
SBFLE018,2012,F,J,1145
SBFLE025,2012,M,J,1296
SBFLE029,2012,F,J,522
SBFLE032,2012,F,J,119
SBFLE035,2012,M,J,970
SBFLE037,2012,M,J,2581
SBFLE039,2012,M,J,776
SBFLE040,2012,F,J,1320
SBFLE041,2012,M,J,172
SBFLE042,2012,M,J,80
SBFLE043,2012,F,J,1118
SBFLE045,2012,F,J,1621
SBFLE046,2012,F,J,650
SBFLE049,2012,F,J,656
SBFLE205,2013,M,J,675
SBFLE206,2013,M,J,2228
SBFLE239,2013,F,J,2118
SBFLE251,2013,M,J,716
SBFLE252,2013,F,J,1965
SBFLE404,2014,F,J,1845
SBFLE408,2014,M,J,1246
SBFLE416,2014,F,J,827
SBFLE421,2014,M,J,2259
SBFLE464,2014,F,J,913
SBFLE522,2014,F,J,814
SBFLE523,2014,F,J,1053
SBFLE530,2014,F,J,1058
SBFLE531,2014,M,J,845
SBFLE559,2014,M,J,2884
SBFLE567,2014,M,J,632
SBFLE571,2014,M,J,870
SBFLE593,2014,M,J,913
SBFLE606,2014,F,J,514
SBFLE615,2014,F,J,199
SBFLE632,2014,M,J,430
SBFLE638,2014,F,J,869
SBFLE643,2014,F,J,412
SBFLE651,2014,M,J,398
SBFLE654,2014,M,J,364
SBFLE656,2014,M,J,784
SBFLE664,2014,F,J,322
SBFLE665,2014,M,J,292
SBFLE672,2014,F,J,725
SBFN10,2012,M,J,1595
SBFSE004,2012,F,J,126
SBFSE007,2012,F,J,190
SBFSE014/039,2012,F,J,1600
SBFSE024/062,2012,F,J,1662
SBFSE025,2012,M,J,83
SBFSE029,2012,M,J,370
SBFSE031,2012,F,J,575
SBFSE045,2012,M,J,143
SBFSE064,2012,F,J,182
SBFSE068,2012,M,J,1840
SBFSE069,2012,M,J,403
SBFSE070,2012,M,J,740
SBFSE071,2012,F,J,903
SBFSE080/055,2012,F,J,215
SBFSE081,2012,M,J,953
SBFSE212,2013,M,J,1507
SBFSE231,2013,F,J,1460
SBFSE257,2013,F,J,1335
SBFSE287,2013,M,J,869
SBFSE291,2013,F,J,459
SBFSE309,2013,F,J,842
SBFSE315,2013,F,J,1312
SBFSE322,2013,M,J,2151
SBFSE323,2013,M,J,473
SBFSE324,2013,F,J,706
SBFSE325,2013,M,J,253
SBFSE326,2013,F,J,749
SBFSE327,2013,F,J,241
SBFSE328,2013,F,J,141
SBFSE339,2013,M,J,667
SBFSE343,2013,F,J,285
SBFSE345,2013,F,J,782
SBFSE347,2013,M,J,566
SBFSE491,2014,M,J,3042
SBFSE493,2014,M,J,1374
SBFSE523,2014,F,J,507
SBFSE540,2014,M,J,1852
SBFSE572,2014,M,J,1143
SBFLE464,2014,F,J,916
BE1259,2016,F,J,699
BE1273,2016,F,J,976
LE1012,2016,M,J,2528
LE1016,2016,M,J,2597
LE1046,2016,M,J,1588
Buddy,2014,M,A,478
DE201,2014,F,A,255
DE345,2014,M,A,393
DE622A,2014,M,A,2559
SBFLE065,2014,F,A,712
SBFLE202,2014,M,A,267
SBFLE219,2014,F,A,2078
SBFLE223,2014,F,A,127
SBFLE243 (DEA22R),2014,F,A,464
SBFLE249A/LE064,2013,F,A,1314
SBFLE275,2014,F,A,1804
SBFLE285,2014,F,A,1929
SBFLE304,2014,M,A,251
SBFLE305,2014,M,A,413
SBFLE307,2014,F,A,223
SBFLE649A,2014,M,A,973
SBFLE671A,2014,F,A,230
SBFSE023,2014,F,A,911
SBFSE229,2014,F,A,1026
SBFSE235 (BEA09R),2014,F,A,389
SBFSE344A,2013,F,A,228
SBFSE349A,2013,M,A,749
SBFSE352,2014,F,A,69
SBFSE357 (BEA06RB),2014,M,A,236
SBFSE372 (SEA04_140626),2014,M,A,691
SBFSE378 (SEA20),2014,M,A,1854
Taggart,2014,M,A,523
